link,name
bitcoin,Bitcoin
ethereum,Ethereum
ripple,XRP
bitcoin-cash,Bitcoin Cash
eos,EOS
stellar,Stellar
litecoin,Litecoin
cardano,Cardano
monero,Monero
tether,Tether
tron,TRON
dash,Dash
iota,IOTA
binance-coin,Binance Coin
neo,NEO
ethereum-classic,Ethereum Classic
nem,NEM
tezos,Tezos
zcash,Zcash
vechain,VeChain
bitcoin-gold,Bitcoin Gold
maker,Maker
omisego,OmiseGO
0x,0x
dogecoin,Dogecoin
basic-attention-token,Basic Attenti...
qtum,Qtum
decred,Decred
ontology,Ontology
lisk,Lisk
zilliqa,Zilliqa
aeternity,Aeternity
bitcoin-diamond,Bitcoin Diamond
bitshares,BitShares
nano,Nano
bytecoin-bcn,Bytecoin
icon,ICON
siacoin,Siacoin
pundi-x,Pundi X
digibyte,DigiByte
steem,Steem
verge,Verge
bytom,Bytom
waves,Waves
populous,Populous
aurora,Aurora
chainlink,Chainlink
metaverse,Metaverse ETP
golem-network-tokens,Golem
augur,Augur
trueusd,TrueUSD
stratis,Stratis
electroneum,Electroneum
holo,Holo
usd-coin,USD Coin
komodo,Komodo
paxos-standard-token,Paxos Standar...
status,Status
waltonchain,Waltonchain
maidsafecoin,MaidSafeCoin
cryptonex,Cryptonex
wanchain,Wanchain
ardor,Ardor
mithril,Mithril
iostoken,IOST
kucoin-shares,KuCoin Shares
aion,Aion
wax,WAX
ravencoin,Ravencoin
nexo,Nexo
bancor,Bancor
decentraland,Decentraland
loopring,Loopring
eternal-token,ETERNAL TOKEN
digixdao,DigixDAO
ark,Ark
gxchain,GXChain
huobi-token,Huobi Token
aelf,aelf
polymath-network,Polymath
hypercash,HyperCash
veritaseum,Veritaseum
reddcoin,ReddCoin
pivx,PIVX
qash,QASH
zencash,Horizen
monacoin,MonaCoin
cybermiles,CyberMiles
dai,Dai
moac,MOAC
crypto-com,Crypto.com
loom-network,Loom Network
dentacoin,Dentacoin
nxt,Nxt
funfair,FunFair
nebulas-token,Nebulas
revain,Revain
theta-token,Theta Token
tenx,TenX
mixin,Mixin
